Kontonr EIGEN;Kontobezeichnung (rein informativ!) EIGEN;Kontonr ALTERNATIV;Kontobezeichnung ALTERNATIV;
462101;Gas;-;-;
462102;Gas;-;-;
462201;Wasser;-;-;
462202;Wasser;-;-;
466001;Büromaterial;-;-;
466002;Büromaterial;-;-;
469001;Klein- u Reinigungsmat;-;-;
469002;Klein- u Reinigungsmat;-;-;
469011;Klein- u Reinigungsmat NW;-;-;
469012;Klein- u Reinigungsmat NW;-;-;
469021;Klein- u Reinigungsmat GW;-;-;
469022;Klein- u Reinigungsmat GW;-;-;
469031;Klein- u Reinigungsmat Mech;-;-;
469032;Klein- u Reinigungsmat Mech;-;-;
469041;Klein- u Reinigungsmat Karo;-;-;
469042;Klein- u Reinigungsmat Karo;-;-;
469051;Klein- u Reinigungsmat Lack;-;-;
469052;Klein- u Reinigungsmat Lack;-;-;
469061;Klein- u Reinigungsmat TuZ;-;-;
469062;Klein- u Reinigungsmat TuZ;-;-;
469071;Klein- u Reinigungsmat MW;-;-;
469072;Klein- u Reinigungsmat MW;-;-;
470001;Gewerbesteuer;-;-;
470002;Gewerbesteuer;-;-;
471001;Zinsen (kalkulatorisch);-;-;
471002;Zinsen (kalkulatorisch);-;-;
472001;Gebühren und Beiträge;-;-;
472002;Gebühren und Beiträge;-;-;
473001;Versicherungen;-;-;
473002;Versicherungen;-;-;
474001;Rechts- und Beratungskosten;-;-;
474002;Rechts- und Beratungskosten;-;-;
475001;Nebenkosten des Geldverkehrs;-;-;
475002;Nebenkosten des Geldverkehrs;-;-;
480001;Fracht, Porto, Packmaterial;-;-;
480002;Fracht, Porto, Packmaterial;-;-;
481001;Telefonkosten;-;-;
481002;Telefonkosten;-;-;
481101;Private Telefonkosten für MwSt;-;-;
481102;Private Telefonkosten für MwSt;-;-;
481201;Kosten Spardepot;-;-;
481202;Kosten Spardepot;-;-;
482001;Reisekosten für Arbeitgeber;-;-;
482002;Reisekosten für Arbeitgeber;-;-;
483001;Reisekosten für Arbeitnehmer;-;-;
483002;Reisekosten für Arbeitnehmer;-;-;
484001;Bewirtung von Geschäftsfr voll;-;-;
484002;Bewirtung von Geschäftsfr voll;-;-;
484101;Bewirt.nicht abzugsf.;-;-;
484102;Bewirt.nicht abzugsf.;-;-;
484501;Bewirtung von Geschäftsfr teil;-;-;
484502;Bewirtung von Geschäftsfr teil;-;-;
485001;Werbegeschenke  bis  35 €;-;-;
485002;Werbegeschenke  bis  35 €;-;-;
486001;Werbegeschenke über 35 €;-;-;
486002;Werbegeschenke über 35 €;-;-;
486501;Rundfunkwerbung;-;-;
486502;Rundfunkwerbung;-;-;
487001;Print-Werbung PKW;-;-;
487002;Print-Werbung PKW;-;-;
487011;Werbekosten Neuwagen;-;-;
487012;Werbekosten Neuwagen;-;-;
487021;Werbekosten Gebrauchtwagen;-;-;
487022;Werbekosten Gebrauchtwagen;-;-;
487031;Werbekosten Service;-;-;
487032;Werbekosten Service;-;-;
487041;Werbekosten Karosserie;-;-;
487042;Werbekosten Karosserie;-;-;
487051;Werbekosten Lackiererei;-;-;
487052;Werbekosten Lackiererei;-;-;
487061;Werbekosten T&Z;-;-;
487062;Werbekosten T&Z;-;-;
487071;Werbekosten Mietwagen;-;-;
487072;Werbekosten Mietwagen;-;-;
487081;Werbekosten Tankstelle;-;-;
487082;Werbekosten Tankstelle;-;-;
487091;Werbekosten Sonstige;-;-;
487092;Werbekosten Sonstige;-;-;
487101;Direktwerbung Gesamtgeschäft;-;-;
487102;Direktwerbung Gesamtgeschäft;-;-;
487111;Direktwerbung NW;-;-;
487112;Direktwerbung NW;-;-;
487121;Direktwerbung GW;-;-;
487122;Direktwerbung GW;-;-;
487131;Direktwerbung Mechanik;-;-;
487132;Direktwerbung Mechanik;-;-;
487141;Direktwerbung Karosserie;-;-;
487142;Direktwerbung Karosserie;-;-;
487151;Direktwerbung Lackiererei;-;-;
487152;Direktwerbung Lackiererei;-;-;
487161;Direktwerbung T&Z;-;-;
487162;Direktwerbung T&Z;-;-;
487171;Direktwerbung Mietwagen;-;-;
487172;Direktwerbung Mietwagen;-;-;
487181;Direktwerbung Tankstelle;-;-;
487182;Direktwerbung Tankstelle;-;-;
487191;Direktwerbung Sonstige;-;-;
487192;Direktwerbung Sonstige;-;-;
487211;Verkaufsförderung NW;-;-;
487212;Verkaufsförderung NW;-;-;
487231;Verkaufsförderung Mechanik;-;-;
487232;Verkaufsförderung Mechanik;-;-;
487311;HWP-Zuschüsse f Werbekosten NW;-;-;
487312;HWP-Zuschüsse f Werbekosten NW;-;-;
487321;HWP-Zuschüsse f Werbekosten GW;-;-;
487322;HWP-Zuschüsse f Werbekosten GW;-;-;
487331;HWP-Zuschüsse f Werbeko. Mech;-;-;
487332;HWP-Zuschüsse f Werbeko. Mech;-;-;
487361;HWP-Zuschüsse f Werbeko.T&Z;-;-;
487362;HWP-Zuschüsse f Werbeko.T&Z;-;-;
487501;Agentur-Werbung;-;-;
487502;Agentur-Werbung;-;-;
487601;Sponsoraktivitäten;-;-;
487602;Sponsoraktivitäten;-;-;
487701;Online-Werbung;-;-;
487702;Online-Werbung;-;-;
487801;Print-Werbung NFZ;-;-;
487802;Print-Werbung NFZ;-;-;
488401;Einführung neuer Modelle;-;-;
488402;Einführung neuer Modelle;-;-;
488411;Einführung neuer Modelle NW;-;-;
488412;Einführung neuer Modelle NW;-;-;
488421;Einführung neuer Modelle GW;-;-;
488422;Einführung neuer Modelle GW;-;-;
488501;Spardepot-Nachl.ust-pfl.;-;-;
488502;Spardepot-Nachl.ust-pfl.;-;-;
489001;Sonstige Kosten Gesamt;-;-;
489002;Sonstige Kosten Gesamt;-;-;
489011;Sonstige Kosten NW;-;-;
489012;Sonstige Kosten NW;-;-;
489021;Sonstige Kosten GW;-;-;
489022;Sonstige Kosten GW;-;-;
489031;Sonstige Kosten Mechanik;-;-;
489032;Sonstige Kosten Mechanik;-;-;
489041;Sonstige Kosten Karosserie;-;-;
489042;Sonstige Kosten Karosserie;-;-;
489051;Sonstige Kosten Lackiererei;-;-;
489052;Sonstige Kosten Lackiererei;-;-;
489061;Sonstige Kosten T&Z;-;-;
489062;Sonstige Kosten T&Z;-;-;
489071;Sonstige Kosten Mietwagen;-;-;
489072;Sonstige Kosten Mietwagen;-;-;
489081;Sonstige Kosten Tankstelle;-;-;
489082;Sonstige Kosten Tankstelle;-;-;
489091;Sonstige Kosten Sonstige;-;-;
489092;Sonstige Kosten Sonstige;-;-;
491001;Fertigmach u vertragl Service;-;-;
491002;Fertigmach u vertragl Service;-;-;
491011;Fertigmach u vertragl Serv NW;-;-;
491012;Fertigmach u vertragl Serv NW;-;-;
491021;Fertigmach u vertragl Serv GW;-;-;
491022;Fertigmach u vertragl Serv GW;-;-;
491031;Fertigmach u vertragl Serv Mec;-;-;
491032;Fertigmach u vertragl Serv Mec;-;-;
491071;Fertigmach u vertragl Serv MW;-;-;
491072;Fertigmach u vertragl Serv MW;-;-;
491711;Fertig u vertragl Service int;-;-;
491712;Fertig u vertragl Service int;-;-;
491721;Fertigmachen intern GW;-;-;
491722;Fertigmachen intern GW;-;-;
491811;Fertig u vertr ServVerg.f MwSt;-;-;
491812;Fertig u vertr ServVerg.f MwSt;-;-;
492001;Prov.Verk.Berater;-;-;
492002;Prov.Verk.Berater;-;-;
492011;Verkäuferprovision NW;-;-;
492012;Verkäuferprovision NW;-;-;
492021;Verkäuferprovision GW;-;-;
492022;Verkäuferprovision GW;-;-;
493011;Provision für Finanz NW;-;-;
493012;Provision für Finanz NW;-;-;
493021;Provision für Finanz GW;-;-;
493022;Provision für Finanz GW;-;-;
493111;Provision für Versicher NW;-;-;
493112;Provision für Versicher NW;-;-;
493121;Provision für Versicher GW;-;-;
493122;Provision für Versicher GW;-;-;
493201;Provision Sonstige Gesamt;-;-;
493202;Provision Sonstige Gesamt;-;-;
493211;Provision Sonstige NW;-;-;
493212;Provision Sonstige NW;-;-;
493221;Provision Sonstige GW;-;-;
493222;Provision Sonstige GW;-;-;
493231;Provision Sonstige Mechanik;-;-;
493232;Provision Sonstige Mechanik;-;-;
493241;Provision Sonstige Karosserie;-;-;
493242;Provision Sonstige Karosserie;-;-;
493251;Provision Sonstige Lackiererei;-;-;
493252;Provision Sonstige Lackiererei;-;-;
493261;Provision Sonstige T&Z;-;-;
493262;Provision Sonstige T&Z;-;-;
493271;Provision Sonstige Mietwagen;-;-;
493272;Provision Sonstige Mietwagen;-;-;
493281;Provision Sonstige Tankstelle;-;-;
493282;Provision Sonstige Tankstelle;-;-;
493291;Provision Sonstige;-;-;
493292;Provision Sonstige;-;-;
494011;Fixum Neuwagen;-;-;
494012;Fixum Neuwagen;-;-;
494021;Fixum Gebrauchtwagen;-;-;
494022;Fixum Gebrauchtwagen;-;-;
495011;Vermittlerprov.NW mit UST;-;-;
495012;Vermittlerprov.NW mit UST;-;-;
495021;Vermittlerprov.GW mit UST;-;-;
495022;Vermittlerprov.GW mit UST;-;-;
495511;Vermittl.provision NW ohne UST;-;-;
495512;Vermittl.provision NW ohne UST;-;-;
495521;Vermittlungsprov.GW ohne UST;-;-;
495522;Vermittlungsprov.GW ohne UST;-;-;
496021;Kosten GW - Programm G2;-;-;
496022;Kosten GW - Programm G2;-;-;
496121;Kosten GWgarantie extern;-;-;
496122;Kosten GWgarantie extern;-;-;
496721;Kosten GWgarantie intern;-;-;
496722;Kosten GWgarantie intern;-;-;
497011;Kulanz Neuwagen;-;-;
497012;Kulanz Neuwagen;-;-;
497021;Kulanz Gebrauchtwagen;-;-;
497022;Kulanz Gebrauchtwagen;-;-;
497031;Kulanz Mechanik;-;-;
497032;Kulanz Mechanik;-;-;
497041;Kulanz Karosserie;-;-;
497042;Kulanz Karosserie;-;-;
497051;Kulanz Lackiererei;-;-;
497052;Kulanz Lackiererei;-;-;
497061;Kulanz  T&Z;-;-;
497062;Kulanz  T&Z;-;-;
497071;Kulanz  MW;-;-;
497072;Kulanz  MW;-;-;
497091;Kulanz Verkaufsförderung;-;-;
497092;Kulanz Verkaufsförderung;-;-;
497101;Kulanz MWSt 16 %;-;-;
497102;Kulanz MWSt 16 %;-;-;
497111;Kulanz NW (für16% MwSt.);-;-;
497112;Kulanz NW (für16% MwSt.);-;-;
497121;Kulanz GW (für16% MwSt.);-;-;
497122;Kulanz GW (für16% MwSt.);-;-;
497131;Kulanz Mech (für16% MwSt.);-;-;
497132;Kulanz Mech (für16% MwSt.);-;-;
497161;Kulanz T&Z (für 16% MwSt.);-;-;
497162;Kulanz T&Z (für 16% MwSt.);-;-;
497171;Kulanz MW (für 16% MwSt.);-;-;
497172;Kulanz MW (für 16% MwSt.);-;-;
497191;Kulanz sonst (für 16% MwSt.);-;-;
497192;Kulanz sonst (für 16% MwSt.);-;-;
497201;Kulanz Mobilität intern;-;-;
497202;Kulanz Mobilität intern;-;-;
497211;Kulanz NW (für 19% MwSt.);-;-;
497212;Kulanz NW (für 19% MwSt.);-;-;
497221;Kulanz GW (für 19% MwSt.);-;-;
497222;Kulanz GW (für 19% MwSt.);-;-;
497231;Kulanz Mech (für 19% MwSt.);-;-;
497232;Kulanz Mech (für 19% MwSt.);-;-;
497261;Kulanz T&Z (für 19% MwSt);-;-;
497262;Kulanz T&Z (für 19% MwSt);-;-;
497301;Kulanz MWST 19 %;-;-;
497302;Kulanz MWST 19 %;-;-;
497311;Kulanz MWST 19 % NW;-;-;
497312;Kulanz MWST 19 % NW;-;-;
497321;Kulanz MWST 19 % GW;-;-;
497322;Kulanz MWST 19 % GW;-;-;
497331;Kulanz MWST 19 % Mech;-;-;
497332;Kulanz MWST 19 % Mech;-;-;
497361;Kulanz MWST 19 % TuZ;-;-;
497362;Kulanz MWST 19 % TuZ;-;-;
497371;Kulanz Verkaufsf.MWST 19%;-;-;
497372;Kulanz Verkaufsf.MWST 19%;-;-;
497711;Kulanz intern Neuwagen (NW);-;-;
497712;Kulanz intern Neuwagen (NW);-;-;
497721;Kulanz intern GW;-;-;
497722;Kulanz intern GW;-;-;
497731;Kulanz intern Mechanik;-;-;
497732;Kulanz intern Mechanik;-;-;
497741;Kulanz intern Karosserie;-;-;
497742;Kulanz intern Karosserie;-;-;
497751;Kulanz intern Lackiererei;-;-;
497752;Kulanz intern Lackiererei;-;-;
497761;Kulanz intern T&Z;-;-;
497762;Kulanz intern T&Z;-;-;
497791;Kulanz intern Sonstiges;-;-;
497792;Kulanz intern Sonstiges;-;-;
497811;Sonstige variable Kosten (NW);-;-;
497812;Sonstige variable Kosten (NW);-;-;
497821;Sonstige variable Kosten (GW);-;-;
497822;Sonstige variable Kosten (GW);-;-;
497871;Sonstige direkte Kosten MW;-;-;
497872;Sonstige direkte Kosten MW;-;-;
498001;Umlage indirekte Kosten Gesamt;-;-;
498002;Umlage indirekte Kosten Gesamt;-;-;
498011;Umlage indirekte Kosten NW;-;-;
498012;Umlage indirekte Kosten NW;-;-;
498021;Umlage indirekte Kosten GW;-;-;
498022;Umlage indirekte Kosten GW;-;-;
498031;Umlage indirekte Kosten Mech;-;-;
498032;Umlage indirekte Kosten Mech;-;-;
498041;Umlage indirekte Kosten Karo;-;-;
498042;Umlage indirekte Kosten Karo;-;-;
498051;Umlage indirekte Kosten Lack;-;-;
498052;Umlage indirekte Kosten Lack;-;-;
498061;Umlage indirekte Kosten T&Z;-;-;
498062;Umlage indirekte Kosten T&Z;-;-;
498071;Umlage indirekte Kosten MW;-;-;
498072;Umlage indirekte Kosten MW;-;-;
498081;Umlage indirekte Kosten Tank;-;-;
498082;Umlage indirekte Kosten Tank;-;-;
498091;Umlage indirekte Kosten Sonst;-;-;
498092;Umlage indirekte Kosten Sonst;-;-;
498101;Umlage Immobilien Gesamt;-;-;
498102;Umlage Immobilien Gesamt;-;-;
498111;Umlage Immobilien NW;-;-;
498112;Umlage Immobilien NW;-;-;
498121;Umlage Immobilien GW;-;-;
498122;Umlage Immobilien GW;-;-;
498131;Umlage Immobilien Mechanik;-;-;
498132;Umlage Immobilien Mechanik;-;-;
498141;Umlage Immobilien Karosserie;-;-;
498142;Umlage Immobilien Karosserie;-;-;
498151;Umlage Immobilien Lackiererei;-;-;
498152;Umlage Immobilien Lackiererei;-;-;
498161;Umlage Immobilien T&Z;-;-;
498162;Umlage Immobilien T&Z;-;-;
498171;Umlage Immobilien Mietwagen;-;-;
498172;Umlage Immobilien Mietwagen;-;-;
498181;Umlage Immobilien Tankstelle;-;-;
498182;Umlage Immobilien Tankstelle;-;-;
498191;Umlage Immobilien Sonstige;-;-;
498192;Umlage Immobilien Sonstige;-;-;
498201;Umlage Zinsen Gesamtgeschäft;-;-;
498202;Umlage Zinsen Gesamtgeschäft;-;-;
498211;Umlage Zinsen NW;-;-;
498212;Umlage Zinsen NW;-;-;
498221;Umlage Zinsen GW;-;-;
498222;Umlage Zinsen GW;-;-;
498231;Umlage Zinsen Mechanik;-;-;
498232;Umlage Zinsen Mechanik;-;-;
498241;Umlage Zinsen Karosserie;-;-;
498242;Umlage Zinsen Karosserie;-;-;
498251;Umlage Zinsen Lackiererei;-;-;
498252;Umlage Zinsen Lackiererei;-;-;
498261;Umlage Zinsen T&Z;-;-;
498262;Umlage Zinsen T&Z;-;-;
498271;Umlage Zinsen Mietwagen;-;-;
498272;Umlage Zinsen Mietwagen;-;-;
498281;Umlage Zinsen Tankstelle;-;-;
498282;Umlage Zinsen Tankstelle;-;-;
498291;Umlage Zinsen Sonstige;-;-;
498292;Umlage Zinsen Sonstige;-;-;
498301;Konzernumlage;-;-;
498302;Konzernumlage;-;-;
499001;Dir Kosten+EW für nicht GM;-;-;
499002;Dir Kosten+EW für nicht GM;-;-;
499101;Indir Kosten+EW für nicht GM;-;-;
499102;Indir Kosten+EW für nicht GM;-;-;
499201;Vfw-Verrechnung;-;-;
499202;Vfw-Verrechnung;-;-;
499301;Gesch-Fzg.Verrechnung;-;-;
499302;Gesch-Fzg.Verrechnung;-;-;
499401;Rent;-;-;
499402;Rent;-;-;
499501;Lagerkorrektur Teile;-;-;
499502;Lagerkorrektur Teile;-;-;
499601;Einkauf Fahrzeuge;-;-;
499602;Einkauf Fahrzeuge;-;-;
499701;Lagerkorrektur Fahrzeuge;-;-;
499702;Lagerkorrektur Fahrzeuge;-;-;
499801;Einkauf Teile;-;-;
499802;Einkauf Teile;-;-;
499991;Summe Kostenarten;-;-;
499992;Summe Kostenarten;-;-;
500001;Statistikkonten;-;-;
500002;Statistikkonten;-;-;
510001;NW Anz Agila an Kd Kauf;-;-;
510002;NW Anz Agila an Kd Kauf;-;-;
510011;NW Anz Agila an KdLeasing;-;-;
510012;NW Anz Agila an KdLeasing;-;-;
510021;NW Anz Agila an Gewerbekd Kauf;-;-;
510022;NW Anz Agila an Gewerbekd Kauf;-;-;
510031;NW Anz Agila an Gewerbekd Leas;-;-;
510032;NW Anz Agila an Gewerbekd Leas;-;-;
510041;NW Anz Agila an Großkd Kauf;-;-;
510042;NW Anz Agila an Großkd Kauf;-;-;
510051;NW Anz Agila an Großkd Leasing;-;-;
510052;NW Anz Agila an Großkd Leasing;-;-;
510061;NW Anz Agila an Vermitt Kauf;-;-;
510062;NW Anz Agila an Vermitt Kauf;-;-;
510071;NW Anz Agila an Vermitt Leas;-;-;
510072;NW Anz Agila an Vermitt Leas;-;-;
510101;NW Anz Corsa an Kunden Kauf;-;-;
510102;NW Anz Corsa an Kunden Kauf;-;-;
510111;NW Anz Corsa an Kunden Leas;-;-;
510112;NW Anz Corsa an Kunden Leas;-;-;
510121;NW Anz Corsa an Gewerbekd Kauf;-;-;
510122;NW Anz Corsa an Gewerbekd Kauf;-;-;
510131;NW Anz Corsa an Gewerbekd Leas;-;-;
510132;NW Anz Corsa an Gewerbekd Leas;-;-;
510141;NW Anz Corsa an Großkd Kauf;-;-;
510142;NW Anz Corsa an Großkd Kauf;-;-;
510151;NW Anz Corsa an Großkd Leasing;-;-;
510152;NW Anz Corsa an Großkd Leasing;-;-;
510161;NW Anz Corsa an Vermitt Kauf;-;-;
510162;NW Anz Corsa an Vermitt Kauf;-;-;
510171;NW Anz Corsa an Vermitt Leas;-;-;
510172;NW Anz Corsa an Vermitt Leas;-;-;
510201;NW Anz Karl an Kunden Kauf;-;-;
510202;NW Anz Karl an Kunden Kauf;-;-;
510211;NW Anz Karl an Kunden Leasing;-;-;
510212;NW Anz Karl an Kunden Leasing;-;-;
510221;NW Anz Karl an Gewerbekd Kauf;-;-;
510222;NW Anz Karl an Gewerbekd Kauf;-;-;
510231;NW Anz Karl an Gewerbekd Leas;-;-;
510232;NW Anz Karl an Gewerbekd Leas;-;-;
510241;NW Anz Karl an Großkd Kauf;-;-;
510242;NW Anz Karl an Großkd Kauf;-;-;
510251;NW Anz Karl an Großkd Leas;-;-;
510252;NW Anz Karl an Großkd Leas;-;-;
510261;NW Anz Karl an Vermitt Kauf;-;-;
510262;NW Anz Karl an Vermitt Kauf;-;-;
510271;NW Anz Karl an Vermitt Leas;-;-;
510272;NW Anz Karl an Vermitt Leas;-;-;
510301;NW Anz Adam an Kunden Kauf;-;-;
510302;NW Anz Adam an Kunden Kauf;-;-;
510311;NW Anz Adam an Kunden Leasing;-;-;
510312;NW Anz Adam an Kunden Leasing;-;-;
510321;NW Anz Adam an Gewerbekd Kauf;-;-;
510322;NW Anz Adam an Gewerbekd Kauf;-;-;
510331;NW Anz Adam an Gewerbekd Leas;-;-;
510332;NW Anz Adam an Gewerbekd Leas;-;-;
510341;NW Anz Adam an Großkd Kauf;-;-;
510342;NW Anz Adam an Großkd Kauf;-;-;
510351;NW Anz Adam an Großkd Leas;-;-;
510352;NW Anz Adam an Großkd Leas;-;-;
510361;NW Anz Adam an Vermitt Kauf;-;-;
510362;NW Anz Adam an Vermitt Kauf;-;-;
510371;NW Anz Adam an Vermitt Leas;-;-;
510372;NW Anz Adam an Vermitt Leas;-;-;
510401;NW Anz Meriva an Kunden Kauf;-;-;
510402;NW Anz Meriva an Kunden Kauf;-;-;
510411;NW Anz Meriva an Kunden Leas;-;-;
510412;NW Anz Meriva an Kunden Leas;-;-;
510421;NW Anz Meriva Gewerbekd Kauf;-;-;
510422;NW Anz Meriva Gewerbekd Kauf;-;-;
510431;NW Anz Meriva Gewerbekd Leas;-;-;
510432;NW Anz Meriva Gewerbekd Leas;-;-;
510441;NW Anz Meriva an Großkd Kauf;-;-;
510442;NW Anz Meriva an Großkd Kauf;-;-;
510451;NW Anz Meriva an Großkd Leas;-;-;
510452;NW Anz Meriva an Großkd Leas;-;-;
510461;NW Anz Meriva an Vermitt Kauf;-;-;
510462;NW Anz Meriva an Vermitt Kauf;-;-;
510471;NW Anz Meriva an Vermitt Leas;-;-;
510472;NW Anz Meriva an Vermitt Leas;-;-;
510501;NW Anz Crossland X an KD Kauf;-;-;
510502;NW Anz Crossland X an KD Kauf;-;-;
510511;NW Anz Crossland X an KD Leas;-;-;
510512;NW Anz Crossland X an KD Leas;-;-;
510521;NW Anz Crossland X an Gewkd Ka;-;-;
510522;NW Anz Crossland X an Gewkd Ka;-;-;
510531;NW Anz Crossland X an Gewkd Le;-;-;
510532;NW Anz Crossland X an Gewkd Le;-;-;
510541;NW Anz Crossland X Großkd Kauf;-;-;
510542;NW Anz Crossland X Großkd Kauf;-;-;
510551;NW Anz Crossland X Großkd Leas;-;-;
510552;NW Anz Crossland X Großkd Leas;-;-;
510561;NW Anz Crossland X Vermitt Kau;-;-;
510562;NW Anz Crossland X Vermitt Kau;-;-;
510571;NW Anz Crossland X Vermitt Lea;-;-;
510572;NW Anz Crossland X Vermitt Lea;-;-;
510601;NW Anz Astra an Kunden Kauf;-;-;
510602;NW Anz Astra an Kunden Kauf;-;-;
510611;NW Anz Astra an Kunden Leas;-;-;
510612;NW Anz Astra an Kunden Leas;-;-;
510621;NW Anz Astra Gewerbekd Kauf;-;-;
510622;NW Anz Astra Gewerbekd Kauf;-;-;
510631;NW Anz Astra Gewerbekd Leas;-;-;
510632;NW Anz Astra Gewerbekd Leas;-;-;
510641;NW Anz Astra Großkd Kauf;-;-;
510642;NW Anz Astra Großkd Kauf;-;-;
510651;NW Anz Astra Großkd Leas;-;-;
510652;NW Anz Astra Großkd Leas;-;-;
510661;NW Anz Astra an Vermitt Kauf;-;-;
510662;NW Anz Astra an Vermitt Kauf;-;-;
510671;NW Anz Astra an Vermitt Leas;-;-;
510672;NW Anz Astra an Vermitt Leas;-;-;
510701;NW Anz Cascada an Kunden Kauf;-;-;
510702;NW Anz Cascada an Kunden Kauf;-;-;
510711;NW Anz Cascada an Kunden Leas;-;-;
510712;NW Anz Cascada an Kunden Leas;-;-;
510721;NW Anz Cascada Gewerbekd Kauf;-;-;
510722;NW Anz Cascada Gewerbekd Kauf;-;-;
510731;NW Anz Cascada Gewerbekd Leas;-;-;
510732;NW Anz Cascada Gewerbekd Leas;-;-;
510741;NW Anz Cascada Großkd Kauf;-;-;
510742;NW Anz Cascada Großkd Kauf;-;-;
510751;NW Anz Cascada Großkd Leas;-;-;
510752;NW Anz Cascada Großkd Leas;-;-;
510761;NW Anz Cascada an Vermitt Kauf;-;-;
510762;NW Anz Cascada an Vermitt Kauf;-;-;
510771;NW Anz Cascada an Vermitt Leas;-;-;
510772;NW Anz Cascada an Vermitt Leas;-;-;
510801;NW Anz Zafira an Kunden Kauf;-;-;
510802;NW Anz Zafira an Kunden Kauf;-;-;
510811;NW Anz Zafira an Kunden Leas;-;-;
510812;NW Anz Zafira an Kunden Leas;-;-;
510821;NW Anz Zafira Gewerbekd Kauf;-;-;
510822;NW Anz Zafira Gewerbekd Kauf;-;-;
510831;NW Anz Zafira Gewerbekd Leas;-;-;
510832;NW Anz Zafira Gewerbekd Leas;-;-;
510841;NW Anz Zafira an Großkd Kauf;-;-;
510842;NW Anz Zafira an Großkd Kauf;-;-;
510851;NW Anz Zafira an Großkd Leas;-;-;
510852;NW Anz Zafira an Großkd Leas;-;-;
510861;NW Anz Zafira an Vermitt Kauf;-;-;
510862;NW Anz Zafira an Vermitt Kauf;-;-;
510871;NW Anz Zafira an Vermitt Leas;-;-;
510872;NW Anz Zafira an Vermitt Leas;-;-;
510901;NW Anz Mokka an Kunden Kauf;-;-;
510902;NW Anz Mokka an Kunden Kauf;-;-;
510911;NW Anz Mokka an Kunden Leas;-;-;
510912;NW Anz Mokka an Kunden Leas;-;-;
510921;NW Anz Mokka Gewerbekd Kauf;-;-;
510922;NW Anz Mokka Gewerbekd Kauf;-;-;
510931;NW Anz Mokka Gewerbekd Leas;-;-;
510932;NW Anz Mokka Gewerbekd Leas;-;-;
510941;NW Anz Mokka an Großkd Kauf;-;-;
510942;NW Anz Mokka an Großkd Kauf;-;-;
510951;NW Anz Mokka an Großkd Leas;-;-;
510952;NW Anz Mokka an Großkd Leas;-;-;
510961;NW Anz Mokka an Vermitt Kauf;-;-;
510962;NW Anz Mokka an Vermitt Kauf;-;-;
510971;NW Anz Mokka an Vermitt Leas;-;-;
510972;NW Anz Mokka an Vermitt Leas;-;-;
511001;NW Anz Ampera e an Kunden Kauf;-;-;
511002;NW Anz Ampera e an Kunden Kauf;-;-;
511011;NW Anz Ampera e an Kunden Leas;-;-;
511012;NW Anz Ampera e an Kunden Leas;-;-;
511021;NW Anz Ampera e Gewerbekd Kauf;-;-;
511022;NW Anz Ampera e Gewerbekd Kauf;-;-;
511031;NW Anz Ampera e Gewerbekd Leas;-;-;
511032;NW Anz Ampera e Gewerbekd Leas;-;-;
511041;NW Anz Ampera e an Großkd Kauf;-;-;
511042;NW Anz Ampera e an Großkd Kauf;-;-;
511051;NW Anz Ampera e an Großkd Leas;-;-;
511052;NW Anz Ampera e an Großkd Leas;-;-;
511061;NW Anz Ampera e an Vermitt Kau;-;-;
511062;NW Anz Ampera e an Vermitt Kau;-;-;
511071;NW Anz Ampera e an Vermitt Lea;-;-;
511072;NW Anz Ampera e an Vermitt Lea;-;-;
511101;NW Anz Insignia an Kunden Kauf;-;-;
511102;NW Anz Insignia an Kunden Kauf;-;-;
511111;NW Anz Insignia an Kunden Leas;-;-;
511112;NW Anz Insignia an Kunden Leas;-;-;
511121;NW Anz Insignia Gewerbekd Kauf;-;-;
511122;NW Anz Insignia Gewerbekd Kauf;-;-;
511131;NW Anz Insignia Gewerbekd Leas;-;-;
511132;NW Anz Insignia Gewerbekd Leas;-;-;
511141;NW Anz Insignia Großkd Kauf;-;-;
511142;NW Anz Insignia Großkd Kauf;-;-;
511151;NW Anz Insignia Großkd Leas;-;-;
511152;NW Anz Insignia Großkd Leas;-;-;
511161;NW Anz Insignia an VermittKauf;-;-;
511162;NW Anz Insignia an VermittKauf;-;-;
511171;NW Anz Insignia an VermittLeas;-;-;
511172;NW Anz Insignia an VermittLeas;-;-;
511201;NW Anz Antara an Kunden Kauf;-;-;
511202;NW Anz Antara an Kunden Kauf;-;-;
511211;NW Anz Antara an Kunden Leas;-;-;
511212;NW Anz Antara an Kunden Leas;-;-;
511221;NW Anz Antara Gewerbekd Kauf;-;-;
511222;NW Anz Antara Gewerbekd Kauf;-;-;
511231;NW Anz Antara Gewerbekd Leas;-;-;
511232;NW Anz Antara Gewerbekd Leas;-;-;
511241;NW Anz Antara Großkd Kauf;-;-;
511242;NW Anz Antara Großkd Kauf;-;-;
511251;NW Anz Antara Großkd Leas;-;-;
511252;NW Anz Antara Großkd Leas;-;-;
511261;NW Anz Antara Vermitt Kauf;-;-;
511262;NW Anz Antara Vermitt Kauf;-;-;
511271;NW Anz Antara Vermitt Leas;-;-;
511272;NW Anz Antara Vermitt Leas;-;-;
511301;NW Anz GT Kunden Kauf;-;-;
511302;NW Anz GT Kunden Kauf;-;-;
511311;NW Anz GT Kunden Leas;-;-;
511312;NW Anz GT Kunden Leas;-;-;
511321;NW Anz GT Gewerbekd Ka;-;-;
